time,type,x,y,z,vx,vy,vz,ax,ay,az,yaw,w1,w2,w3
1.9,cmdFullState,0.4245657632722536,-2.4776657362721135,0.998223177281673,0.6828954289173566,0.07686497400659838,0.04613842477517869,-1.898389747602644,-1.1986653631948327,-0.7579296756403257,0.11208570259715815,0.01838801353639386,0.04009531465168731,-1.0773452743223482
1.9333333333333333,cmdFullState,0.4519889128513382,-2.475396986707741,0.9995647852626923,0.613332826504069,0.032330947416747594,0.018748316796049144,-1.3329185912213153,-0.8747397278471671,-0.5220610026898913,0.05266480066968815,0.03180980403737984,0.0610625742810852,-0.8683089600323872
1.9666666666666666,cmdFullState,0.4770574509195546,-2.474678985757402,0.9999762775613732,0.5741351556909571,0.004970169859578239,0.0027963753602788096,-0.45717556541564686,-0.383980838427483,-0.21734387676903938,0.008656577917084983,0.04962066129728225,0.08583585411355349,-0.40346260749837726
2.0,cmdFullState,0.5013352230266579,-2.4746352958804283,0.9999979285516297,0.5756837706104633,0.0003281253915924745,-0.0003597764183750289,0.30064614720266714,0.04038879081386162,-0.041644786864238906,0.000569974998099499,0.0056258999562282235,0.006991319441213133,0.04195714842204418
2.033333333333333,cmdFullState,0.5260871830825788,-2.4745550381172423,0.9999145814004584,0.5917885028290827,0.004160820320099191,-0.004285079368990183,0.45740728485809357,0.1403254056109935,-0.14303720581807003,0.0070308087101779325,0.005926615329407654,0.007741810172239823,0.14059238293583953
2.0666666666666664,cmdFullState,0.5516622143547423,-2.474221963269104,0.9995739102196626,0.614425919387283,0.012242982220988187,-0.01246919361853797,0.6081378078335458,0.2404872842089956,-0.242136375077978,0.019923251768127054,0.006289175056707569,0.008470698664867536,0.2301959979786359
2.1,cmdFullState,0.5783315334881375,-2.473455772065655,0.998797572218017,0.6432963216523373,0.024565485402058017,-0.0247901280880658,0.750771989379049,0.339989112803142,-0.3377766482434984,0.0381683436284284,0.0066601848271480935,0.008994189059779457,0.3084598129956932
2.1333333333333333,cmdFullState,0.6063517695617398,-2.472077358111767,0.9974134580972306,0.6780118822178232,0.04108106322166776,-0.041076015805277165,0.8832257536375636,0.43791991539027403,-0.42877499571075695,0.060516492995723904,0.006731316391313573,0.009205798598292207,0.37426872089345853
2.1666666666666665,cmdFullState,0.6359612126618709,-2.4699104479846956,0.9952578216752371,0.7180962613858248,0.061703349571744504,-0.06110458385403099,1.0034155992236424,0.5333493204464207,-0.5139409548070696,0.08571575066234684,0.00678965039116987,0.00917288557271492,0.42758539518751515
2.2,cmdFullState,0.6673760637639237,-2.46678327616966,0.9921774227516219,0.7629850652260386,0.08630620048488782,-0.08460306639490599,1.1092793448223326,0.6253344989169831,-0.5920875647860812,0.11263771605510461,0.006780716961327199,0.00863151943339436,0.469222871452405
2.2333333333333334,cmdFullState,0.700786723304911,-2.462530282331511,0.988031663510721,0.8120272241245918,0.11472332495286525,-0.11124860341661329,1.198798771505296,0.7129278016240508,-0.6620433272897652,0.1403512578430962,0.006577392898140963,0.007684137665094466,0.5005722494985664
